ORDER,TEAM,PLAYER,POSITION,COLLEGE,PHASE,ROUND
4,Wildcats,Anthony Johnson,DT,LSU,3: DF7,1
5,Defenders,James Vaughters,LB,Stanford,3: DF7,1
6,Roughnecks,Trenton Thompson,DT,Georgia,3: DF7,1
7,Guardians,Ben Heeney,LB,Kansas,3: DF7,1
8,Renegades,Hau'oli Kikaha,DE,Washington,3: DF7,1
1,Renegades,Sealver Siliga,DT,Utah,3: DF7,2
2,Guardians,Joey Mbu,DT,Houston,3: DF7,2
3,Roughnecks,Corey Crawford,DE,Clemson,3: DF7,2
4,Defenders,Charles Harris,DE,Buffalo,3: DF7,2
5,Wildcats,Eric Pinkins,LB,San Diego State,3: DF7,2
6,Dragons,Nick Temple,LB,Cincinnati,3: DF7,2
7,BattleHawks,Terence Garvin,LB,West Virginia,3: DF7,2
8,Vipers,Deiontrez Mount,DE,Louisville,3: DF7,2
1,Vipers,Ricky Walker,DT,Virginia Tech,3: DF7,3
2,BattleHawks,Andrew Ankrah,DE,James Madison,3: DF7,3
3,Dragons,Will Sutton,DT,Arizona State,3: DF7,3
4,Wildcats,Latarius Brady,DT,Memphis,3: DF7,3
5,Defenders,Elijah Qualls,DT,Washington,3: DF7,3
6,Roughnecks,Edmond Robinson,LB,Newberry College,3: DF7,3
7,Guardians,Austin Larkin,DE,Purdue,3: DF7,3
8,Renegades,Winston Craig,DT,Richmond,3: DF7,3
1,Renegades,Ray Ray Davison,LB,California,3: DF7,4
2,Guardians,TJ Barnes,DT,Georgia Tech,3: DF7,4
3,Roughnecks,Davis Tull,LB,Chattanooga,3: DF7,4
4,Defenders,Scooby Wright,LB,Arizona,3: DF7,4
5,Wildcats,Willie Mays,DE,Tiffin,3: DF7,4
6,Dragons,Tenny Palepoi,DE,Utah,3: DF7,4
7,BattleHawks,Jamell Garcia-Williams,DE,UAB,3: DF7,4
8,Vipers,Reggie Northrop,LB,Florida State,3: DF7,4
1,Vipers,Josh Banks,DT,Wake Forest,3: DF7,5
2,BattleHawks,Channing Ward,DT,Ole Miss,3: DF7,5
3,Dragons,Jacquies Smith,DE,Missouri,3: DF7,5
4,Wildcats,Tre' Williams,LB,Auburn,3: DF7,5
5,Defenders,Tracy Sprinkle,DT,Ohio State,3: DF7,5
6,Roughnecks,Olive Sagapolu,DT,Wisconsin,3: DF7,5
7,Guardians,Nick DeLuca,LB,North Dakota State,3: DF7,5
8,Renegades,Greer Martini,LB,Notre Dame,3: DF7,5
1,Renegades,Gelen Robinson,DT,Purdue,3: DF7,6
2,Guardians,D'Juan Hines,LB,Houston,3: DF7,6
3,Roughnecks,Beniquez Brown,LB,Mississippi State,3: DF7,6
4,Defenders,Jameer Thurman,LB,Indiana State,3: DF7,6
5,Wildcats,Leon Orr,DT,Florida,3: DF7,6
6,Dragons,Steven Johnson,LB,Kansas,3: DF7,6
7,BattleHawks,Khyri Thornton,DT,Southern Miss,3: DF7,6
8,Vipers,Emmanuel Beal,LB,Oklahoma,3: DF7,6
1,Vipers,Lucas Wacha,LB,Wyoming,3: DF7,7
2,BattleHawks,Gimel President,DE,Illinois,3: DF7,7
3,Dragons,Taniela Tupou,DT,Washington,3: DF7,7
4,Wildcats,Reggie Howard,DT,Toledo,3: DF7,7
5,Defenders,Sam Montgomery,DE,LSU,3: DF7,7
6,Roughnecks,Andrew Jackson,LB,Western Kentucky,3: DF7,7
7,Guardians,Jarrell Owens,DE,Oklahoma State,3: DF7,7
8,Renegades,Frank Alexander,DE,Oklahoma,3: DF7,7
1,Renegades,Jonathan Massaquoi,LB,Troy,3: DF7,8
2,Guardians,Cavon Walker,DT,Maryland,3: DF7,8
3,Roughnecks,DeMarquis Gates,LB,Ole Miss,3: DF7,8
4,Defenders,Jonathan Celestin,LB,Minnesota,3: DF7,8
5,Wildcats,Corey Vereen,DE,Tennessee,3: DF7,8
6,Dragons,Danny Ezechukwu,DE,Purdue,3: DF7,8
7,BattleHawks,Marcus Hardison,DT,Arizona State,3: DF7,8
8,Vipers,Anthony Stubbs,LB,Prairie View A&M,3: DF7,8
1,Vipers,Jason Neill,DE,UTSA,3: DF7,9
2,BattleHawks,Nicholas Grigsby,LB,Pitt,3: DF7,9
3,Dragons,Pasoni Tasini,DT,Utah,3: DF7,9
4,Wildcats,Adrian Hubbard,DE,Alabama,3: DF7,9
5,Defenders,KeShun Freeman,DE,Georgia Tech,3: DF7,9
6,Roughnecks,Caushaud Lyons,DT,Tusculum College,3: DF7,9
7,Guardians,Garrison Smith,DT,Georgia,3: DF7,9
8,Renegades,Tegray Scales,LB,Indiana,3: DF7,9
1,Renegades,Izaah Lunsford,DT,Bowling Green,3: DF7,10
2,Guardians,Rykeem Yates,DE,Nevada,3: DF7,10
3,Roughnecks,Drew Lewis,LB,Colorado,3: DF7,10
4,Defenders,Daryle Banfield,DT,Brown,3: DF7,10
5,Wildcats,Owen Roberts,DT,San Jose State,3: DF7,10
6,Dragons,Praise Martin-Oguike,DE,Temple,3: DF7,10
7,BattleHawks,Corbin Kaufisi,DE,BYU,3: DF7,10
8,Vipers,Devin Taylor,DE,South Carolina,3: DF7,10
1,Renegades,Derron Smith,SAF,Fresno State,4: DB,1
2,Guardians,Jamar Summers,CB,Connecticut,4: DB,1
3,Roughnecks,Deji Olatoye,CB,North Carolina A&T,4: DB,1
4,Defenders,Elijah Campbell,CB,Northern Iowa,4: DB,1
5,Wildcats,Jack Tocho,CB,NC State,4: DB,1
6,Dragons,Jhavonte Dean,CB,Miami (FL),4: DB,1
7,BattleHawks,Herb Miller,SAF,Florida Atlantic,4: DB,1
8,Vipers,Arrion Springs,CB,Oregon,4: DB,1
1,Vipers,Picasso Nelson,CB,Southern Miss,4: DB,2
2,BattleHawks,Will Hill,SAF,Florida,4: DB,2
3,Dragons,Chris Davis,CB,Auburn,4: DB,2
4,Wildcats,Jaylen Dunlap,CB,Illinois,4: DB,2
5,Defenders,Desmond Lawrence,CB,North Carolina,4: DB,2
6,Roughnecks,Robert Nelson,CB,Arizona State,4: DB,2
7,Guardians,Lorenzo Doss,CB,Tulane,4: DB,2
8,Renegades,Treston Decoud,CB,Oregon State,4: DB,2
1,Renegades,Dashaun Phillips,CB,Tarleton State,4: DB,3
2,Guardians,David Rivers,CB,Youngstown State,4: DB,3
3,Roughnecks,Trae Elston,SAF,Ole Miss,4: DB,3
4,Defenders,Jalen Myrick,CB,Minnesota,4: DB,3
5,Wildcats,C.J. Moore,CB,North Carolina Central,4: DB,3
6,Dragons,Kentrell Brice,SAF,Louisiana Tech,4: DB,3
