ORDER,TEAM,PLAYER,POSITION,COLLEGE,PHASE,ROUND,CONFERENCE,STATE
3,Guardians,Arie Kouandjio,OG,Alabama,2: OL,10,SEC,Alabama
4,Renegades,Justin Evans,OT,South Carolina State,2: OL,10,FCS,South Carolina
5,Vipers,William Campbell,OG,Michigan,2: OL,10,Big Ten,Michigan
6,BattleHawks,Dejon Allen,OG,Hawaii,2: OL,10,FBS - Mountain West,Hawaii
7,Dragons,Craig McCorkle,OT,California (PA),2: OL,10,,
8,Wildcats,Anthony Morris,OT,Tennessee State,2: OL,10,FCS,Tennessee
1,Vipers,Obum Gwacham,DE,Oregon State,3: DF7,1,Pac 12,Oregon
2,BattleHawks,Casey Sayles,DT,Ohio,3: DF7,1,FBS - MAC,Ohio
3,Dragons,Stansly Maponga,DE,TCU,3: DF7,1,Big 12,Texas
4,Wildcats,Anthony Johnson,DT,LSU,3: DF7,1,SEC,Louisiana
5,Defenders,James Vaughters,LB,Stanford,3: DF7,1,Pac 12,California
6,Roughnecks,Trenton Thompson,DT,Georgia,3: DF7,1,SEC,Georgia
7,Guardians,Ben Heeney,LB,Kansas,3: DF7,1,Big 12,Kansas
8,Renegades,Hau'oli Kikaha,DE,Washington,3: DF7,1,Pac 12,Washington
1,Renegades,Sealver Siliga,DT,Utah,3: DF7,2,Pac 12,Utah
2,Guardians,Joey Mbu,DT,Houston,3: DF7,2,FBS - AAC,Texas
3,Roughnecks,Corey Crawford,DE,Clemson,3: DF7,2,ACC,South Carolina
4,Defenders,Charles Harris,DE,Buffalo,3: DF7,2,FBS - MAC,New York
5,Wildcats,Eric Pinkins,LB,San Diego State,3: DF7,2,FBS - Mountain West,California
6,Dragons,Nick Temple,LB,Cincinnati,3: DF7,2,FBS - AAC,Ohio
7,BattleHawks,Terence Garvin,LB,West Virginia,3: DF7,2,Big 12,West Virginia
8,Vipers,Deiontrez Mount,DE,Louisville,3: DF7,2,ACC,Kentucky
1,Vipers,Ricky Walker,DT,Virginia Tech,3: DF7,3,ACC,Virginia
2,BattleHawks,Andrew Ankrah,DE,James Madison,3: DF7,3,FCS,Virginia
3,Dragons,Will Sutton,DT,Arizona State,3: DF7,3,Pac 12,Arizona
4,Wildcats,Latarius Brady,DT,Memphis,3: DF7,3,FBS - AAC,Tennessee
5,Defenders,Elijah Qualls,DT,Washington,3: DF7,3,Pac 12,Washington
6,Roughnecks,Edmond Robinson,LB,Newberry,3: DF7,3,,
7,Guardians,Austin Larkin,DE,Purdue,3: DF7,3,Big Ten,Indiana
8,Renegades,Winston Craig,DT,Richmond,3: DF7,3,FCS,Virginia
1,Renegades,Ray Ray Davison,LB,California,3: DF7,4,Pac 12,California
2,Guardians,TJ Barnes,DT,Georgia Tech,3: DF7,4,ACC,Georgia
3,Roughnecks,Davis Tull,LB,Chattanooga,3: DF7,4,FCS,Tennessee
4,Defenders,Scooby Wright,LB,Arizona,3: DF7,4,Pac 12,Arizona
5,Wildcats,Willie Mays,DE,Tiffin,3: DF7,4,D2,Ohio
6,Dragons,Tenny Palepoi,DE,Utah,3: DF7,4,Pac 12,Utah
7,BattleHawks,Jamell Garcia-Williams,DE,Alabama-Birmingham,3: DF7,4,,
8,Vipers,Reggie Northrop,LB,Florida State,3: DF7,4,ACC,Florida
1,Vipers,Josh Banks,DT,Wake Forest,3: DF7,5,ACC,North Carolina
2,BattleHawks,Channing Ward,DT,Ole Miss,3: DF7,5,SEC,Mississippi
3,Dragons,Jacquies Smith,DE,Missouri,3: DF7,5,SEC,Missouri
4,Wildcats,Tre' Williams,LB,Auburn,3: DF7,5,SEC,Alabama
5,Defenders,Tracy Sprinkle,DT,Ohio State,3: DF7,5,Big Ten,Ohio
6,Roughnecks,Olive Sagapolu,DT,Wisconsin,3: DF7,5,Big Ten,Wisconsin
7,Guardians,Nick DeLuca,LB,North Dakota State,3: DF7,5,FCS,North Dakota
8,Renegades,Greer Martini,LB,Notre Dame,3: DF7,5,FBS - Independent,Indiana
1,Renegades,Gelen Robinson,DT,Purdue,3: DF7,6,Big Ten,Indiana
