NAME,POS,COLLEGE
Alonzo Russell,WR,Toledo
Brian Sandifer,WR,Wisconsin-Stout
John Santiago,WR,North Dakota
Jalen Saunders,WR,Oklahoma
Qua Searcy,WR,Georgia Tech
Gerrard Sheppard,WR,Towson
Brandon Shippen,WR,Temple
Terrell Sinkfield,WR,Northern Iowa
Jordan Smallwood,WR,Oklahoma
Jaylen Smith,WR,Louisville
Patrick Smith,WR,Tennessee State
Riley Smith,WR,West Texas A&M
Kamrin Solomon,WR,Florida Atlantic
Nelson Spruce,WR,Colorado
Josh Stewart,WR,Texas-San Antonio
Kyle Sweet,WR,Washington State
Ron'Quavion Tarver,WR,Nevada-Reno
Justin Thomas,WR,Georgia Tech
DeAndre Thompkins,WR,Penn State
Carlos Thompson,WR,Independance CC
Chris Thompson,WR,Florida
Jalen Tolliver,WR,Arkansas-Monticello
Jonah Trinnamen,WR,Brigham Young
Aaren Vaughns,WR,Utah State
Joe Walker,WR,Delaware
L'Damian Washington,WR,Missouri
Jamarius Way,WR,South Alabama
Jordan Westerkamp,WR,Nebraska
Kermit Whitfield,WR,Florida State
Carl Whitley,WR,Abilene Christian
Daniel Williams,WR,Jackson State
Kasen Williams,WR,Washington
Taj Williams,WR,Texas Christian
Terrance Williams,WR,Baylor
Malik Wilson,WR,North Carolina A&T
Tim Wilson,WR,East Stroudsburg
Kendall Wright,WR,Baylor
DeAngelo Yancey,WR,Purdue
Isaac Zico,WR,Purdue
Julian Allen,TE,Southern Mississippi
Jace Amaro,TE,Texas Tech
Nate Askew,TE,Texas A&M
Tanner Balderree,TE,Brigham Young
Brandon Barnes,TE,Alabama State
Dillon Beard,TE,Southern
EJ Bibbs,TE,Iowa State
Romello Brooker,TE,Houston
Kyle Carter,TE,Penn State
Orson Charles,TE,Georgia
Gerald Christian,TE,Louisville
Darion Clark,TE,Southern California
Cam Clear,TE,Texas A&M
Zach Conque,TE,Stephen F. Austin
Micky Crum III,TE,Louisville
Connor Davis,TE,Stony Brook
Fred Davis,TE,Southern California
Anthony Denham,TE,Utah
Elkanah Dillon,TE,South Florida
Jonathan Dorsey,TE,Alabama A&M
Aaron Evans,TE,Central Florida
DeAndre Goolsby,TE,Florida
Connor Hamlett,TE,Oregon State
Clay Harbor,TE,Missouri State
Jackson Harris,TE,Georgia
Derrick Hayward,TE,Maryland
Garrett Hudson,TE,Richmond
Cole Hunt,TE,Texas Christian
Colin Jeter,TE,Louisiana State
Ben Johnson,TE,Kansas
Jalyn Judkins,TE,Angelo State
Carter Kirk,TE,Southwest Minnesota State
Khari Lee,TE,Bowie State
C'yontai Lewis,TE,Florida
Jake McGee,TE,Florida
Pharoah McKever,TE,Florida International
Cordon Moog,TE,Baylor
Scott Orndoff,TE,Pittsburgh
Donald Parham,TE,Stenson
Tyler Petite,TE,Southern California
Jake Powell,TE,Monmouth
Sean Price,TE,South Florida
Stehly Reden,TE,Texas A&M-Kingsville
Darryl Richardson,TE,San Diego State
Ellis Richardson,TE,Georgia State
Kalias Robertson,TE,Alabama A&M
Adrien Robinson,TE,Cincinnati
Jevoni Robinson,TE,Berry
Evan Rodriguez,TE,Temple
Jay Rome,TE,Georgia
Weslye Saunders,TE,South Carolina
Wes Saxton,TE,South Alabama
Cameron Serigne,TE,Wake Forest
Ryan Smith,TE,Miami (OH)
Johnny Stanton,TE,Nevada-Las Vegas
Moral Stephens Jr,TE,Florida
Jake Sutherland,TE,Morehead State
Kent Taylor,TE,Texas-El Paso
Brett Thompson,TE,Tennessee-Martin
Colin Thompson,TE,Temple
Keith Towbridge,TE,Louisville
Nick Truesdell,TE,Grand Rapids JC
Dimitrios Tsesmetzis,TE,Western Connecticut State
Eric Wallace,TE,Seattle
Matt Weiser,TE,Buffalo
Nic Weishar,TE,Notre Dame
Cole Wick,TE,Incarnate Word
Clayton Wilson,TE,Northwest Missouri State
Marcus Applefield,OT,Virginia
Fisayo Awolaja,OT,Northern Colorado
Isaiah Battle,OT,Clemson
Willie Beavers,OT,Western Michigan
Adrian Bellard,OT,Texas State
Jonte Berry,OT,Northwest Missouri State
Adam Bisnowaty,OT,Pittsburgh
Lanard Bonner,OT,Arkansas State
Cole Boozer,OT,Temple
Kevin Bowen,OT,East Central (OK)
Michael Bowie,OT,Oklahoma State
Darrell Brown,OT,Louisiana Tech
Sean Brown,OT,Mississippi Valley State
Kendall Calhoun,OT,Cincinnati
Nick Callender,OT,Colorado State
Blake Camper,OT,South Carolina
Daniel Cooney,OT,San Diego
Will Corbin,OT,Appalachian State
Gerhard de Beer,OT,Arizona
Thomas Doles,OT,Northwestern
Michael Dunn,OT,Maryland
Quinterrius Eatmon,OT,South Florida
Cornelius Edison,OT,Portland State
Justin Evans,OT,South Carolina State
Tayo Fabuluje,OT,Texas Christian
Brian Fineanganofo,OT,Idaho State
Cole Gardner,OT,Eastern Michigan
Avery Gennesy,OT,Texas A&M
Joe Gore,OT,Clemson
Christian Harris,OT,Duke
Randall Harris,OT,Towson
Brandon Haskin,OT,Tennessee State
Donald Hawkins,OT,Texas
Jonathan Haynes,OT,Stony Brook
Taylor Hearn,OT,Clemson
Jeremy Hickey,OT,Eastern Michigan
Brandon Hodges,OT,Texas
Martez Ivey,OT,Florida
Dominick Jackson,OT,Alabama
Darius James,OT,Auburn
Leon Johnson,OT,Temple
Jarron Jones,OT,Notre Dame
Avery Jordan,OT,New Mexico
Matt Kauffman,OT,Towson
John Kling,OT,Buffalo
Cyrus Kouandjio,OT,Alabama
Gerard Kough,OT,Colorado
Voghens Larrieux,OT,Coastal Carolina
Patrick Lawrence,OT,Baylor
Javarius Leamon,OT,South Carolina State
Miguel Machado,OT,Michigan State
Lene Maiava,OT,Arizona
Kamalie Matthews,OT,Murray State
Eric Mayes,OT,South Florida
Riley Mayfield,OT,North Texas
Matt McCants,OT,Alabama-Birmingham
Craig McCorkle,OT,California (PA)
Ty McCulley,OT,Colorado State-Pueblo
Andrew McDonald,OT,Indiana
Jamar McGloster,OT,Syracuse
Aaron Monteiro,OT,Boston College
Anthony Morris,OT,Tennessee State
Christian Morris,OT,Mississippi
Trae Moxley,OT,Colorado State
Kyle Murphy,OT,Stanford
Pace Murphy,OT,Northwestern State
Storm Norton,OT,Toledo
Kevin Palmer,OT,Baylor
Kent Perkins,OT,Texas
Terry Poole,OT,San Diego State
Ryan Pope,OT,San Diego State
Damian Prince,OT,Maryland
Bruno Reagan,OT,Vanderbilt
Messiah Rice,OT,Hampton
Jaelin Robinson,OT,Temple
Naty Rodgers,OT,Houston
Tyler Roemer,OT,San Diego State
Jordan Rose,OT,Idaho
TJ Roundtree,OT,Colorado State
Jimmie Sims,OT,Western Kentucky
Nate Theaker,OT,Wayne State
Josiah Tonu,OT,Oregon Tech
Casey Tucker,OT,Arizona State
Logan Tuley-Tillman,OT,Michigan
Dwayne Wallace,OT,Kansas
Toby Weathersby,OT,Louisiana State
De'Ondre Wesley,OT,Brigham Young
Rathvon Williams,OT,Louisiana College
Chasz Wright,OT,Penn State
Tony Adams,OG,North Carolina State
Jordan Agasiva,OG,Utah
Dejon Allen,OG,Hawaii
Josh Allen,OG,Louisiana Monroe
Kareem Are,OG,Florida State
Kirk Barron,OG,Purdue
Abdul Beecham,OG,Kansas State
Mitchell Bell,OG,Louisiana Tech
Wilson Bell,OG,Florida State
Daronte Bouldin,OG,Mississippi
Venzell Boulware,OG,Tennessee
Toree Boyd,OG,Howard
Grant Branch,OG,Eastern Illinois
Chris Brown,OG,Southern California
Leon Brown,OG,Alabama
Juwann Bushell-Beatty,OG,Michigan
William Campbell,OG,Michigan
Jake Campos,OG,Iowa State
Shakir Carr,OG,Central Michigan
Kyle Chung,OG,Virginia Tech
Rishard Cook,OG,Alabama-Birmingham
Anthony Coyle,OG,Fordham
Christian Cronk,OG,Fresno State
Ryan Cummings,OG,Wyoming
Mason Denley,OG,Houston
Jessamen Dunker,OG,Tennessee State
Andrew Erbes,OG,Nevada-Las Vegas
Isame Faciane,OG,Florida International
Brandon Fanaika,OG,Stanford
Chase Farris,OG,Ohio State
Brian Folkerts,OG,Washburn
Tim Gardner,OG,Alcorn State
Zack Golditch,OG,Colorado State
Jeremi Hall,OG,South Florida
Isaiah Hardy,OG,West Virginia
Sean Hickey,OG,Syracuse
Trevin Huff,OG,Bethune Cookman
Tre Jackson,OG,Florida State
Jocquell Johnson,OG,Mississippi State
Jahair Jones,OG,Miami (FL)
Tuni Kanuch,OG,Brigham Young
John Keenoy,OG,Western Michigan
Zac Kerin,OG,Toledo
Korren Kirven,OG,Alabama
Arie Kouandjio,OG,Alabama
Fred Lauina,OG,Oregon State
Jovann Letuli,OG,Akron
Marquis Lucas,OG,West Virginia
Lamar Mady,OG,Youngstown State
Damien Mama,OG,Southern California
Bob Marco,OG,Washburn
Lawrence Martin,OG,South Florida
Chandler Miller,OG,Tulsa
Michael Miller,OG,Washburn
Blake Muir,OG,Baylor
Robert Myers,OG,Tennessee State
Oni Omoile,OG,Iowa State
Jac'que Polite,OG,Winston Salem
Terron Prescod,OG,North Carolina State
Norman Price,OG,Southern Mississippi
Cyril Richardson,OG,Baylor
Maurquice Shakir,OG,Middle Tennessee State
Conor Sheehy,OG,Wisconsin
Ian Silberman,OG,Boston College
Nico Siragusa,OG,San Diego State
Micah St. Andrew,OG,Fresno State
Bunchy Stallings,OG,Kentucky
Maea Teuhema,OG,Southeast Louisiana
Dallas Thomas,OG,Tennessee
Andrew Tiller,OG,Syracuse
Marquez Tucker,OG,Southern Utah
Salesi Uhatafe,OG,Utah
Patrick Vahe,OG,Texas
Brandon Washington,OG,Miami (FL)
Isaiah Williams,OG,Akron
Larry Williams,OG,Oklahoma State
John Yarbrough,OG,Richmond
Avery Young,OG,Auburn
Ty Allen,OC,Tennessee State
Ryan Anderson,OC,Wake Forest
Alex Balducci,OC,Oregon
Garrett Brumfield,OC,Louisiana State
Freddie Burden,OC,Georgia Tech
Matthew Cohen,OC,Lehigh
DJ Coker,OC,Rhodes College
Parker Collins,OC,Appalachian State
Dillon Day,OC,Mississippi State
Dillon DeBoer,OC,Florida Atlantic
Alec Eberle,OC,Florida State
Tyler Gauthier,OC,Miami (FL)
Austin Golson,OC,Auburn
Steven Gurrola,OC,Arizona
Vitas Hrynkiewicz,OC,Youngstown State
Jacob Judd,OC,Western Illinois
Tejan Koroma,OC,Brigham Young
Patrick Lewis,OC,Texas A&M
Jordan McCray,OC,Central Florida
Michael Montero,OC,Florida International
James Murray,OC,Holy Cross
James O'Hagan,OC,Buffalo
Ronald Patrick,OC,South Carolina
Demetrius Rhaney,OC,Tennessee State
Matt Schmidt,OC,Furman
Jon Toth,OC,Kentucky
Walvenski Aime,DT,Florida State
Siupeli Anau,DT,Northern Arizona
Richard Ash,DT,Western Michigan
Josh Augusta,DT,Missouri
Drew Bailey,DT,Louisville
Daryle Banfield,DT,Brown
Josh Banks,DT,Wake Forest
TJ Barnes,DT,Georgia Tech
Shane Bowman,DT,Washington
Paul Boyette,DT,Texas
Latarius Brady,DT,Memphis
Walter Brady,DT,Akron
Omarius Bryant,DT,Western Kentucky
Kyle Cerge-Henderson,DT,Georgia Tech
Austin Cieslak,DT,North Dakota State
Khairi Clark,DT,Florida
Winston Craig,DT,Richmond
Malik Dorton,DT,Southern California
Bryce Douglas,DT,Northern Iowa
BJ Dubose,DT,Louisville
Josh Fatu,DT,Southern California
Will Geary,DT,Kansas State
Youhanna Ghaifan,DT,Wyoming
Tony Guerad,DT,Central Florida
Darius Hamilton,DT,Rutgers
Marcus Hardison,DT,Arizona State
Tank Harris,DT,North Dakota
Jay Hayes,DT,Notre Dame
Roderick Henderson,DT,Alabama State
Ra'Zahn Howard,DT,Purdue
Reggie Howard,DT,Toledo
Ben Huss,DT,Duquense
Nick James,DT,Mississippi State
Courtel Jenkins,DT,Miami (FL)
Alexis Johnson,DT,Tennessee
Anthony Johnson,DT,Louisiana State
Toby Johnson,DT,Georgia
Davonte Lambert,DT,Auburn
Duvonta Lampkin,DT,Oklahoma
Jeremy Liggins,DT,Mississippi
Claudell Louis,DT,Fresno State
Izaah Lunsford,DT,Bowling Green
Caushaud Lyons,DT,Tusculum
Joey Mbu,DT,Houston
Julian McKnight,DT,North Carolina A&T
Adrian Middleton,DT,Kentucky
Giorgio Newberry,DT,Florida State
Ronald Ollie,DT,Nicholls State
Leon Orr,DT,Florida
Scott Pagano,DT,Clemson
Walter Palmore,DT,Missouri
Jake Payne,DT,Shenandoah
Teko Powell,DT,Alabama-Birmingham
Elijah Qualls,DT,Washington
Micanor Regis,DT,Miami (FL)
Waylon Roberson,DT,Arkansas State
Owen Roberts,DT,San Jose State
Gelen Robinson,DT,Purdue
Robert Rose,DT,Ohio State
Bunmi Rotimi,DT,Old Dominion
Olive Sagapolu,DT,Wisconsin
Trevon Sanders,DT,Troy
Casey Sayles,DT,Ohio
Sealver Siliga,DT,Utah
Garrison Smith,DT,Georgia
Ray Smith,DT,Boston College
Kristjan Sokoli,DT,Buffalo
Kellen Soulek,DT,South Dakota State
Tracy Sprinkle,DT,Ohio State
Andrew Stelter,DT,Minnesota
Will Sutton,DT,Arizona State
Handsome Tanielu,DT,Brigham Young
Pasoni Tasini,DT,Utah
Larry Tharpe,DT,Arizona
