NAME,POS,COLLEGE,CONFERENCE,STATE
Ryan Moeller,SAF,Colorado,Pac 12,Colorado
Joshua Moon,SAF,Georgia Southern,FBS - Sun Belt,Georgia
Rahim Moore,SAF,UCLA,Pac 12,California
Jacob Onyechi,SAF,Air Force,FBS - Mountain West,Colorado
Nick Orr,SAF,Texas Christian,,
Fred Payne,SAF,Western Carolina,FCS,North Carolina
Joe Powell,SAF,Globe Tech,,
Jordan Powell,SAF,Widner,,
Robert Priester,SAF,Wyoming,FBS - Mountain West,Wyoming
Santos Ramirez,SAF,Arkansas,SEC,Arkansas
Delvon Randall,SAF,Temple,FBS - AAC,Pennsylvania
Mandell Ray,SAF,Morehouse,,
Max Redfield,SAF,Indiana (PA),D2,Pennsylvania
Ed Reynolds,SAF,Stanford,Pac 12,California
Stephen Roberts,SAF,Auburn,SEC,Alabama
Kenny Robinson,SAF,West Virginia,Big 12,West Virginia
Al-Hajj Shabazz,SAF,West Chester,D2,Pennsylvania
Tyler Sigler,SAF,Wheaton,D3,Illinois
Derron Smith,SAF,Fresno State,FBS - Mountain West,California
Van Smith,SAF,Clemson,ACC,South Carolina
Andrew Soroh,SAF,Florida Atlantic,FBS - CUSA,Florida
Tre Sullivan,SAF,Shepherd,D2,West Virginia
Wes Sutton,SAF,Northern Arizona,FCS,Arizona
Damian Swann,SAF,Georgia,SEC,Georgia
Aaron Taylor,SAF,Ball State,FBS - MAC,Indiana
Gregory Taylor,SAF,Wesley,D3,Delaware
Robenson Therezie,SAF,Auburn,SEC,Alabama
Jake Thienman,SAF,Purdue,Big Ten,Indiana
Marvin Tillman,SAF,West Carolina,,
Damarius Travis,SAF,Minnesota,Big Ten,Minnesota
Jeremy Tyler,SAF,West Virginia,Big 12,West Virginia
Verkedric Vaughns,SAF,Baylor,Big 12,Texas
Jaleel Wadood,SAF,UCLA,Pac 12,California
Abraham Wallace,SAF,West Alabama,D2,Alabama
Nick Washington,SAF,Florida,SEC,Florida
Damon Webb,SAF,Ohio State,Big Ten,Ohio
Shaquille Wiggins,SAF,Louisville,ACC,Kentucky
LaDarius WIley,SAF,Vanderbilt,SEC,Tennessee
Kieron Williams,SAF,Nebraska,Big Ten,Nebraska
Evan Worthington,SAF,Colorado,Pac 12,Colorado
Roberto Aguayo,K,Florida State,ACC,Florida
John Baron,K,San Diego State,FBS - Mountain West,California
Tyler Basch,K,Missouri Western,,
Andrew Franks,K,RPI,D3,New York
Elliott Fry,K,South Carolina,SEC,South Carolina
Josh Gable,K,No College,,
Diego Gonzalez,K,Colorado,Pac 12,Colorado
Cole Hedlund,K,North Texas,FBS - CUSA,Texas
Redford Jones,K,Tulsa,FBS - AAC,Oklahoma
Greg Joseph,K,Florida Atlantic,FBS - CUSA,Florida
Austin MacGinnis,K,Kentucky,SEC,Kentucky
Nick Novak,K,Maryland,Big Ten,Maryland
Erik Powell,K,Washington State,Pac 12,Washington
Ty Rausa,K,Boise State,FBS - Mountain West,Idaho
Taylor Russolino,K,Millsaps,D3,Mississippi
Ryan Santoso,K,Minnesota,Big Ten,Minnesota
Cole Tracy,K,Louisiana State,,
Tristan Vizcaino,K,Washington,Pac 12,Washington
Matthew Wright,K,Central Florida,,
Ryan Anderson,P,Rutgers,Big Ten,New Jersey
Ian Berryman,P,Western Carolina,FCS,North Carolina
Cory Carter,P,Texas Southern,FCS,Texas
Jordan Dascalo,P,Eastern Washington,FCS,Washington
Jack Fox,P,Rice,FBS - CUSA,Texas
Drew Galitz,P,Baylor,Big 12,Texas
Jeff Locke,P,UCLA,Pac 12,California
Brock Miller,P,Southern Utah,FCS,Utah
Tyler Newsome,P,Notre Dame,FBS - Independent,Indiana
Hunter Niswander,P,Northwestern,Big Ten,Illinois
Cameron Nizialek,P,Georgia,SEC,Georgia
Austin Rehkow,P,Idaho,FBS - Sun Belt,Idaho
Colton Schmidt,P,California-Davis,,
Jake Schum,P,Buffalo,FBS - MAC,New York
Sean Smith,P,Dayton,FCS,Ohio
Taylor Symmank,P,Texas Tech,Big 12,Texas
Shane Tripucka,P,Texas A&M,SEC,Texas
Justin Vogel,P,Miami (FL),ACC,Florida
Brad Wing,P,Louisiana State,,
Joseph Zema,P,Incarnate Word,FCS,Texas
Noah Borden,LS,Hawaii,FBS - Mountain West,Hawaii
Nate Boyer,LS,Texas,Big 12,Texas
Tanner Carew,LS,Oregon,Pac 12,Oregon
Scott Daly,LS,Notre Dame,FBS - Independent,Indiana
Ryan DiSalvo,LS,San Jose State,FBS - Mountain West,California
Wes Farnsworth,LS,Nevada-Reno,,
Drew Ferris,LS,Florida,SEC,Florida
James Fisher,LS,North Dakota State,FCS,North Dakota
Joe Fortunato,LS,Delaware,FCS,Delaware
Austin Frey,LS,Texas A&M,SEC,Texas
Owen Gilbert,LS,Marian,,
AJ Hantak,LS,Eastern Illinois,FCS,Illinois
Seth Hebert,LS,Central Missouri,D2,Missouri
Colin Holba,LS,Louisville,ACC,Kentucky
Paul Kelly,LS,Miami (FL),ACC,Florida
Nick Moore,LS,Georgia,SEC,Georgia
Ryan Navarro,LS,Oregon State,Pac 12,Oregon
Joe Rotherham,LS,Nebraska,Big Ten,Nebraska
Colton Taylor,LS,Virginia Tech,ACC,Virginia
Alonso Vera,LS,California,Pac 12,California
John Wirtel,LS,Kansas,Big 12,Kansas
